benchmark_num_bands,FWI stage,Stage description,Metric short name,Metric full name,Value,Unit,Formula used,Meaning,Good result,experiment_name,experiment_type,num_bands,geometry
8,Stage 1,20 MHz low-frequency FWI reconstruction,Correlation,Pearson Spatial Correlation,0.7222489184554806,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.,8 ideal bands,resolution_limit,8,ideal_horizontal
8,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,MAE,Mean Absolute Error,93.27281951904295,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.,8 ideal bands,resolution_limit,8,ideal_horizontal
8,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,RMSE,Root Mean Squared Error,107.9695281982422,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.,8 ideal bands,resolution_limit,8,ideal_horizontal
8,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Bias,Mean Signed Error,-4.347771167755127,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.,8 ideal bands,resolution_limit,8,ideal_horizontal
8,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,NRMSE,Normalized Root Mean Squared Error,12.803213119506836,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.,8 ideal bands,resolution_limit,8,ideal_horizontal
8,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Correlation,Pearson Spatial Correlation,0.7795580701585131,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.,8 ideal bands,resolution_limit,8,ideal_horizontal
10,Stage 1,20 MHz low-frequency FWI reconstruction,MAE,Mean Absolute Error,151.92471313476562,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.,10 ideal bands,resolution_limit,10,ideal_horizontal
10,Stage 1,20 MHz low-frequency FWI reconstruction,RMSE,Root Mean Squared Error,207.94778442382812,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.,10 ideal bands,resolution_limit,10,ideal_horizontal
10,Stage 1,20 MHz low-frequency FWI reconstruction,Bias,Mean Signed Error,-18.19690704345703,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.,10 ideal bands,resolution_limit,10,ideal_horizontal
10,Stage 1,20 MHz low-frequency FWI reconstruction,NRMSE,Normalized Root Mean Squared Error,20.54900360107422,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.,10 ideal bands,resolution_limit,10,ideal_horizontal
10,Stage 1,20 MHz low-frequency FWI reconstruction,Correlation,Pearson Spatial Correlation,0.3645472966897692,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.,10 ideal bands,resolution_limit,10,ideal_horizontal
10,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,MAE,Mean Absolute Error,127.63671875,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.,10 ideal bands,resolution_limit,10,ideal_horizontal
10,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,RMSE,Root Mean Squared Error,143.6917724609375,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.,10 ideal bands,resolution_limit,10,ideal_horizontal
10,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Bias,Mean Signed Error,-0.5890865921974182,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.,10 ideal bands,resolution_limit,10,ideal_horizontal
10,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,NRMSE,Normalized Root Mean Squared Error,14.199347496032717,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.,10 ideal bands,resolution_limit,10,ideal_horizontal
10,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Correlation,Pearson Spatial Correlation,0.7630626300192181,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.,10 ideal bands,resolution_limit,10,ideal_horizontal
3,Stage 1,20 MHz low-frequency FWI reconstruction,MAE,Mean Absolute Error,147.47010803222656,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
3,Stage 1,20 MHz low-frequency FWI reconstruction,RMSE,Root Mean Squared Error,176.4232940673828,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
3,Stage 1,20 MHz low-frequency FWI reconstruction,Bias,Mean Signed Error,-3.2395498752593994,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
3,Stage 1,20 MHz low-frequency FWI reconstruction,NRMSE,Normalized Root Mean Squared Error,19.01871681213379,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
3,Stage 1,20 MHz low-frequency FWI reconstruction,Correlation,Pearson Spatial Correlation,0.723128258090064,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
3,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,MAE,Mean Absolute Error,87.98314666748047,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
3,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,RMSE,Root Mean Squared Error,115.22132110595705,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
3,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Bias,Mean Signed Error,0.5531705617904663,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
3,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,NRMSE,Normalized Root Mean Squared Error,12.42104434967041,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
3,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Correlation,Pearson Spatial Correlation,0.8947062023123203,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.,3 irregular tectonic bands,realistic_tectonic,3,irregular_tectonic
